1;arms_factory;528.00;10.35;1872.00;5.45;0
1;arms_factory;561.00;10.23;1846.00;3.29;0
1;arms_factory;598.00;10.62;1927.00;5.96;0
1;arms_factory;496.00;9.93;1918.00;2.34;0
1;arms_factory;473.00;11.25;1837.00;3.90;0
1;arms_factory;441.00;10.93;1869.00;1.74;0
1;industrial_complex;576.00;10.30;1858.00;4.40;0
1;industrial_complex;553.00;9.80;1941.00;0.79;0
1;industrial_complex;521.00;9.80;1922.00;3.81;0
1;industrial_complex;478.00;10.43;1906.00;0.19;0
1;industrial_complex;481.00;10.45;1889.00;2.85;0
1;industrial_complex;449.00;11.28;1854.00;4.41;0
1;air_base;463.00;11.45;1837.00;2.25;0
1;naval_base;544.00;9.70;1951.00;-3.06;765
1;naval_base;591.00;9.75;1949.00;-3.06;765
1;naval_base;463.00;9.80;1949.00;-3.55;765
1;bunker;481.00;10.25;1875.00;5.52;0
1;bunker;598.00;11.38;1909.00;1.90;0
1;bunker;419.00;9.93;1864.00;6.03;0
1;bunker;490.00;9.85;1867.00;1.31;0
1;bunker;540.00;9.90;1916.00;3.97;0
1;bunker;572.00;10.25;1888.00;1.81;0
1;bunker;461.00;10.07;1942.00;4.47;0
1;coastal_bunker;473.00;9.75;1949.00;-3.55;0
1;coastal_bunker;532.00;9.75;1951.00;-3.06;0
1;coastal_bunker;574.00;9.75;1949.00;-3.06;0
1;dockyard;530.00;9.70;1951.00;-3.06;0
1;anti_air_building;488.00;10.35;1902.00;4.48;0
1;anti_air_building;580.00;10.10;1872.00;0.86;0
1;anti_air_building;430.00;10.75;1803.00;3.52;0
1;synthetic_refinery;584.00;10.10;1928.00;0.26;0
1;fuel_silo;495.00;10.30;1857.00;2.93;0
1;radar_station;505.00;9.78;1873.00;6.21;0
1;rocket_site;452.00;11.05;1870.00;1.97;0
1;nuclear_reactor;580.00;10.20;1859.00;4.99;0
2;arms_factory;330.00;12.12;1358.00;5.96;0
2;arms_factory;661.00;11.85;1403.00;2.34;0
2;arms_factory;666.00;11.90;1402.00;3.90;0
2;arms_factory;379.00;10.93;1444.00;1.74;0
2;arms_factory;478.00;12.10;1432.00;4.40;0
2;arms_factory;573.00;12.20;1397.00;0.79;0
2;industrial_complex;377.00;11.45;1372.00;3.81;0
2;industrial_complex;448.00;11.80;1346.00;0.19;0
2;industrial_complex;323.00;11.78;1348.00;2.85;0
2;industrial_complex;324.00;11.73;1347.00;4.41;0
2;industrial_complex;476.00;12.32;1447.00;2.25;0
2;industrial_complex;393.00;10.70;1436.00;3.46;0
2;air_base;352.00;11.30;1436.00;1.30;0
2;bunker;465.00;10.80;1366.00;2.86;0
